종목코드,종목명,운용사,평균 순자산총액,평균 거래대금,평균 거래량,평균 외국인보유비중
225130,ACE 골드선물 레버리지(합성 H),한국투자신탁운용,11730.0,150.0,4219,0.09
468370,KODEX iShares미국인플레이션국채액티브,삼성자산운용,11725.0,133.0,12346,0.0
391600,ACE 미국친환경그린테마INDXX,한국투자신탁운용,11720.0,30.0,3415,0.0
435040,ACE 글로벌브랜드TOP10블룸버그,한국투자신탁운용,11719.0,36.0,2066,0.0
104520,KIWOOM 블루칩,키움투자자산운용,11711.0,32.0,3071,0.0
285690,FOCUS ESG리더스,브이아이자산운용,11670.0,4.0,296,0.0
477490,에셋플러스 글로벌일등기업포커스10액티브,에셋플러스자산운용,11666.0,147.0,9398,0.0
252420,RISE 200선물인버스2X,케이비자산운용,11562.0,575.0,407971,0.05
195920,TIGER 일본TOPIX(합성 H),미래에셋자산운용,11519.0,27.0,1117,0.0
230480,KIWOOM 미국달러선물인버스2X,키움투자자산운용,11422.0,31.0,6189,0.0
310080,RISE 중국MSCI China(H),케이비자산운용,11397.0,56.0,5749,0.0
453060,HANARO KOFR금리액티브(합성),엔에이치아문디자산운용,11377.0,11.0,101,0.0
453630,KODEX 미국S&P500필수소비재,삼성자산운용,11324.0,142.0,11909,0.0
140710,KODEX 운송,삼성자산운용,11302.0,845.0,139939,0.04
387280,TIGER 퓨처모빌리티액티브,미래에셋자산운용,11252.0,57.0,8111,0.0
430500,KIWOOM 물가채KIS,키움투자자산운용,11167.0,42.0,360,0.0
138530,TIGER LG그룹+펀더멘털,미래에셋자산운용,11154.0,267.0,37540,0.03
145850,TREX 펀더멘탈 200,유리에셋,11148.0,1.0,31,0.08
0066W0,SOL 국제금,신한자산운용,11146.0,1145.0,117990,0.0
117690,TIGER 차이나항셍30,미래에셋자산운용,11134.0,140.0,6893,0.0
379790,RISE 유로스탁스50(H),케이비자산운용,11110.0,141.0,9481,0.0
451150,에셋플러스 글로벌영에이지액티브,에셋플러스자산운용,11091.0,96.0,5245,0.0
253280,RISE 헬스케어,케이비자산운용,11068.0,2038.0,135744,0.06
